Nama Budaya,Kategori IPA,Konsep IPA,Warisan Budaya,Kategori Budaya,Kab/Kota,Provinsi,Link Budaya Terkait,Link Artikel,Koordinat,Sumber,Lisensi,Gambar
Doclang,Koloid,"Menjelaskan bumbu kacang pada doclang apakah termasuk koloid, larutan, atau suspensi",Doclang,Kemahiran dan Kerajinan Tradisional,Bogor,Jawa Barat,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001631,https://repository.uinjkt.ac.id/dspace/handle/123456789/72036,"-6.54412,107.002",Wikimedia Commons,"MadCholis,CC BY SA 4.0",../images/Doclang.jpg
Gamelan Surakarta,Getaran dan Gelombang,Alat  musik  gamelan  mempunyai  notasi bunyi  beragam dan dapat dikaitkan dengan materi gelombang bunyi (getaran dan gelombang),Sejarah Gamelan Surakarta Gamelan Surakarta diperkirakan sudah ada sejak 500 SM. Kemunculan gamelan didahului dengan budaya hindu-budha. Instrumennya banyak berkembang pada zaman Majapahit dan terus mengalami perkembangan saat Islam datang hingga Indo,Seni Pertunjukan,Surakarta,Jawa Tengah,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000001,https://proceeding.unnes.ac.id/snipa/article/view/2348,"	-7.55914,110.824",Wikimedia Commons,"Giovanni Sciarrino, CC BY 2.5",../images/Gamelan_Surakarta.jpg
Gerubak Takung,Usaha dan Energi,"Pada saat menggelindingkan roda dari tampah dan menarik takung yang menyerupai gerobak dengan menarik teman dalam regu yang duduk di pelepah pinang tua oleh teman lainnya dalam regu, yang mana hal tersebut memiliki usaha karena adanya gayayang diberikan terhadap benda sehingga mengalami perpindahan dari tempat A ke tempat B.","Gerubak adalah gerobak dan takung adalah pelepah pohon pinang  yang sudah tua. Yang mana dari beberapa permainan yaitu lari, menyusun bata, menggiring roda dari tampah dan menarik takung yang menyerupai gerobak. Permainan ini membutuhkan konsentrasi, kekompakan  serta gotong royong yang di kenal oleh masyarakat Lampung Barat dengan istilah Behuai Jejama",Lain - Lain,Lampung Barat,Lampung,,http://repository.radenintan.ac.id/28188/,"-5.36361,104.125",https://www.youtube.com/@asparastory,,../images/Gerubak_Takung.png
Gondang Borogong,Getaran dan Gelombang,Resonansi bunyi,"Gondang borogong dulu dimainkan pada saat penobatan raja, menyambut tamu besar, dan acara pernikahan",Seni Pertunjukan,Rokan Hulu,Riau,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001604,http://repository.upp.ac.id/id/eprint/2356,"0.821098,100.506",lamriau.id,,../images/Gondang_Borogong.jpeg
Jenang Kudus,Zat Aditif,"Tepung ketan berasal dari beras ketan yang sudah digiling. Beras ketan (Oryza sativa qlutinous) mengandung karbohidrat yang cukup tinggi sekitar 80%. Pati dari beras ketan terdiri dua senyawa yaitu amilosa dan amilopektin.Tekstur tepung ketan yang pulen, kenyal, dan tidak keras disebabkan kandungan amilopektin yang tinggi2. Pada materi zat aditif, tepung ketan dalam pembuatan Jenang Kudus beperan sebagai zat pengental alami",Jenang Kudus,Kemahiran dan Kerajinan Tradisional,Kudus,Jawa Tengah,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001651,http://repository.iainkudus.ac.id/id/eprint/10010,"	-6.79816,110.87",Wikimedia Commons,"Midori, CC BY 3.0",../images/Jenang_Kudus.JPG
Kapal Pinisi,Keanekaragaman Hayati,"Kayu besi, Kayu bitti, Kayu kandole/punaga, Kayu jati bahan kapal pinisi terancam kepunahannya","Berlayar sejak tahun 1500an. Dalam proses pembuatan kapal Pinisi, dilakukan secara bertahap dan berkesinambungan, dengan berbagai ritual yang melambangkan filosofi bekerja keras, kerja sama, keindahan, hingga menghargai alam.. Kapal pinisi tidak menggunakan perekat selain pasak kayu",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta,Bulukumba,Sulawesi Selatan,https://budaya-data.kemdikbud.go.id/wbtb,https://jurnal.usk.ac.id/JPSI/article/view/20994,"-5.46549,120.19",Wikimedia Commons,,
Laklak,"Tekanan Zat, Sistem Gerak Manusia",Tekanan Zat dan Sistem Gerak Manusia saat menumbuk daun suji bahan laklak,Desa Sading untuk mendapatkan air dari perasan daun suji bahan laklak masih menggunakan teknik tradisional yaitu menumbuk daun suji pada lesung (lumpang batu).,Kemahiran dan Kerajinan Tradisional,Denpasar,Bali,,https://repo.undiksha.ac.id/19951/,"-8.66035,115.227",Wikimedia Commons,"Joseagush, CC BY SA 4.0",../images/Laklak.jpg
Lamban Pesagi,Kesetimbangan Asam Basa,Bahan pengawet kayu lamban pesagi merupakan racun sistemik yang masuk dalam jaringan kayu sehingga serangga akan mati jika memakan kayu tersebut. Pengawetan kayu dilakukan dengan cara perendaman menggunakan bahan asam borat dan boraks yang membentuk larutan penyangga,"Pekon Batu Bekhak, Desa Kenali, Kecamatan Belalau, Lampung Barat, diyakini sebagai asal mula pembangunan tradisional adat Lampung (200-300 th lalu)",Kemahiran dan Kerajinan Tradisional,Lampung Barat,Lampung,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000034,http://digilib.unila.ac.id/76517/,"-5.36361,104.125",radartanggamus.disway.id,,../images/Lamban_Pesagi.jpg
Lubuk Larangan Jambi,"Interaksi Makhluk hidup dan lingkungan, fluida","Konservasi ikan kapiat/lampam d iLubuk larangan tantang sakti, ekosistem sawah dan sungai tantang, tekanan hidrostatik pada DAM Suban",Lubuk  Larangan adalah  daerah  aliran  sungai  yang  telah disepakati oleh  masyarakat dan  lembaga  adat yang  mengatur larangan menangkap  ikan  di  sungai  tersebut. Lubuk  larangan Tantang  sakti menjadi    tempat    konservasi    ikan kapiat/lampam    (Barbonymus schwanenfeldii).,Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta,Bungo,Jambi,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000877,https://mail.online-journal.unja.ac.id/EDP/article/view/9583,"	-1.50943,101.958",ungkap.co.id,,../images/Lubuk_Larangan_Jambi.jpg
Lubuk Larangan Sumatra Barat,Interaksi Makhluk Hidup dan Lingkungan,Lubuk Laranagan Melalui adanya bagian sungai yang menjadi kawasan larangan sehingga bagian tersebut disebut sebagai breeding zone bagi ikan. Daerah ini merupakan area tempat bertelur dan pemijahan ikan untuk meneruskan keturunannya,masyarakat memiliki kepercayaan bahwa ada unsur magis yang terdapat pada kawasan tersebut. Mereka meyakini akan terjadi musibah bagi siapa saja yang melanggar aturan yaitu mencuri ikan dan mengonsumsinya,Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta,Pasaman Barat,Sumatra Barat,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001588,https://garuda.kemdikbud.go.id/documents/detail/1218308,"0.186779,99.5962",www.kompasiana.com,,../images/Lubuk_Larangan_Sumbar.jpg
Ma Wu'u,Interaksi Makhluk hidup dan lingkungan,Kegiatan penebangan pohon dan pembakaran hutan tanpa merusak ekosistem,"Trаdisi Mа Wu’u merupаkаn budаyа mаsyаrаkаt Belogili dimаnа merekа mengаrtikаnnyа sebаgаi suаtu simbol tаndа penghormаtаn kepаdа nenek moyаng merekа yаng menjelmа menjаdi pаdi.  Dаlаm  proses Mа  Wu’umengаndung  nilаi-nilаi  yаng  dаpаt  dijаdikаn  sebаgаi  pаtokаn untuk  mengаtur  tingkаh lаku  yаng  bermаnfааt  bаgi  mаsyаrаkаt  seperti  gotong  royong, tаnggungjаwаb,  rituаl,  dаn  persаtuаn",Lain - Lain,Flores Timur,Nusa Tenggara Timur,,https://e-journal.uniflor.ac.id/index.php/optika/article/view/3625,"-8.346,122.819",Wikimedia Commons,,../images/Mawu_u.jpg
Makepung,Gerak dan gaya,Gerak lurus dan hukum Newton,"Atraksi Makepung adalah merupakan puncak kegembiraan kaum petani di dalam mensyukuri hasil panen raya mereka. Sementara sebagai tradisi, Makepung sudah dimulai sejak para petani turun ke sawah, bahkan sejak pemilihan bibit, atau bulih-bulih padi yang akan ditanam dan disemaikan",Tradisi dan Ekspresi Lisan,Jembrana,Bali,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000612,https://repo.undiksha.ac.id/id/eprint/12140,"-8.31199,114.68",Wikimedia Commons,"HarfiBimantara, CC BY SA 4.0",../images/Makepung.jpg
Malomang,Suhu dan Kalor,Beras pulut di bakar dengan api yang sedang menjadi lemang,"Pembuatan lemang ditujukan pada acara-acara adat atau hari-hari penting seperti hari raya enam atau hari raya ziarah pada acara ini pembuatan lemang dapat dikatakan wajib karena memang sudah ciri khasnya terlebih lagi di daerah Bangkinang yang sangat memeriahkan acara hari raya enam ini, acara niniok mamak, dan juga acara kenduri seperti nikahan, aqiqah, dan khitan.",Lain - Lain,Kampar,Riau,,http://ejournal.uin-suska.ac.id/index.php/JCEI/article/view/21686,"0.27116,101.089",menara.co.id,,../images/Lemang.jpg
Mandi Betangas,Suhu dan kalor,"suhu dan perubahan (perpindahan kalor konduksi, konveksi dan radiasi), perubahan kimia","Tradisi mandi betangas dipercaya memiliki khasiat, yaitu untuk menghilangkan bau keringat di tubuh calon pengantin dan juga dipercaya dapat menghilangkan energi energi negatif yang ada di dalam tubuh. Untuk mempersiapkan prosesi mandi batangas, pihak keluarga (baik laki-laki maupun perempuan) harus menyiapkan berbagai jenis rempah-rempah sebagai bahan utama ramuan yaitu daun pandan, bunga mawar, bunga melati, bunga kenanga, daun sirih, serai wangi, jeruk purut, dan jeruk kunci",Lain - Lain,Muaro Jambi,Jambi,,https://repository.unja.ac.id/51191/,"-1.64549,103.746",https://www.youtube.com/@galuh.amuntai,,../images/Betangas.jpg
Marakka’ Bola,Momentum dan Impuls,"Bidang Fisika: gaya, momen gaya, kesetimbangan Berat Rumah akan terbagi di seluruh tiang penyangga sehingga beban menjadi terasa ringan.","Umumnya orang Bugis tinggal di rumah panggung dari kayu berbentuk segi empat panjang dengan tiang-tiang yang tinggi memikul lantai dan atap. Konstruksi rumah dibuat secara lepas-pasang (knock down) sehingga bisa dipindahkan dari satu tempat ke tempat lain.Terdapat nilai budaya yang kental pada tradisi pindah rumah Bugis, yaitu gotong royong, kerukunan,dan saling membantu","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan",Barru,Sulawesi Selatan,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001251,https://ejournal.undiksha.ac.id/index.php/JPM/article/view/11847?__cf_chl_tk=uojJbuO61HgeAthZhCNXB7OChMhLfDel8lvpfOV0WTw-1727602184-0.0.1.1-5631,"-4.43319,119.698",indonesia.go.id,,../images/
Menongkah Kerang,Interaksi Makhluk hidup dan lingkungan,Konservasi kerang dengan memilih kerang ukuran konsumsi serta karakter ramah lingkungan ditunjukkan dengan adanya aturan masyarakat setempat untuk tidak merusak mangrove di pinggiran pantai.,"Menongkah kerang menggunakan sebilah papan sebagai tumpuan sebelah kaki penongkah dan tempat mengumpulkan kerang yang telah diperoleh. Masyarakat menyebut sekeping papan ini dengan sebutan tongkah. Tongkah adalah alatnya, sedangkan menongkah adalah aktivitas budayanya.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta,Indragiri Hilir,Riau,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000336,http://ejournal.uin-suska.ac.id/index.php/SosialBudaya/article/view/12723,"-0.287854,103.183",Wikimedia Commons,"photolepas, CC BY SA 4.0",../images/Manongkah.jpg
Ngerateng Lampad,Keanekaragaman hayati,"Keanekaragaman hayati berupa Tumbuhan yang digunakan sebagai komponen utama dalam Tradisi Ngerateng Lampad meliputi pusuh (jantung pisang), empol (tunas batang rotan yang muda), buah nangka, daun kacang, daun anti (ranti/leunca), daun sabo (sirih hutan), daun labu, sayur paku/pakis, kacang panjang, kecipir, pare, terong, timun, bongkot/kecicang/ kecombrang, daun pemelasan, kelapa muda, kacang gude, kacang karo, kacang ucu, jagung muda, dan kelapa","Kegiatan memasak (ngerateng) dengan (lampad) sebagai sebuah sarana upacara yang terbuat dari berbagai jenis tumbuhan yang dapat ditemukan di alam yang dapat dikonsumsi oleh manusia. Tradisi ini dilaksanakan pada bulan purnama yang dilakukan di kawasan Pura Penataran Agung Sekarmukti-Pundung. Tradisi ini melibatkan berbagai jenis buah-buahan, kacang-kacangan, sayur-sayuran, umbi-umbian, rempah-rempah, dan tunas.",Lain - Lain,Badung,Bali,,https://repo.undiksha.ac.id/id/eprint/18857,"-8.54082,115.167",www.instagram.com/arinovi.arst,,../images/Ngerateng_Lampad.jpg
Ngerupuk,Suhu dan kalor,"membakar bambu muda dengan menggunakan daun kelapa kering menghasilkan panas ke lingkungan sekitarnya terkait dengan radiasi, materi suhu dan kalor","pengerupukan dilakukan dengan cara menyebar-nyebar nasi tawur, mengobori-obori rumah dan seluruh pekarangan, menyemburi rumah dan pekarangan dengan mesiu, serta memukul benda-benda apa saja (biasanya kentongan) hingga bersuara ramai/gaduh untuk mengusir Buta Kala",Lain - Lain,-,Bali,https://www.denpasarkota.go.id/event/tradisi-ngerupuk-di-bali,https://repo.undiksha.ac.id/id/eprint/18871,"-8.66035,115.227",baliportalnews.com,,../images/Ngerupuk.jpeg
Nyeruit,Zat Aditif dan adiktif,Dalam nyeruit ditambahkan sambal terasi dan tempoyak sebagai zat aditif,Nyeruit merupakan tradisi yang dimiliki masyarakat Provinsi Lampung. “Nyeruit” merupakan sebutan masyarakat saat menyantap bersama-sama sambal seruit (sambal terasi dan sambal tempoyak). Terasi merupakan hasil produk olahan dari fermentasi udang rebon dan diguna-kan sebagai bahan tambahan makanan yang berfungsi sebagai penyedap rasa,Kemahiran dan Kerajinan Tradisional,Way kanan,Lampung,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000417,http://digilib.unila.ac.id/id/eprint/68781,"-4.57554,104.648",kabarsiger.com,,../images/Nyeruit.jpeg
Pacu Jalur,Gerak dan Gaya,Pacu Jalur,"Awalnya, Pacu Jalur diselenggarakan untuk merayakan hari raya agama Islam, seperti Hari Raya Idulfitri di Riau. Namun, di masa penjajahan Belanda, Pacu Jalur digunakan untuk merayakan hari jadi Ratu Wilhelmina setiap tanggal 31 Agustus.",Tradisi dan Ekspresi Lisan,Kuantan Singingi,Riau,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000254,https://jist.ejournal.unri.ac.id/index.php/JIST/article/view/58,"-0.491978,101.47",www.kemenparekraf.go.id,,../images/Pacu_Jalur.jpeg
Pembagian Wilayah Masyarakat Baduy,Ekologi,Pelestarian alam dengan membagi zona untuk menjaga keseimbangan alam,"zona reuma (permukiman), zona heuma (tegalan dan tanah garapan), dan zona leuweung kolot (hutan tua)",Lain - Lain,Lebak,Banten,,http://jurnal.stkippgritulungagung.ac.id/index.php/eduproxima/article/view/5084,"-6.65249,106.189",iStockphoto/rudi_suardi,,../images/Baduy.jpeg
Pembuatan Minyak Kayu Putih,"Konsep perubahan wujud, teknik pemisahan campuran (destilasi), suhu dan kalor","Konsep perubahan wujud (Uap air akan mengalir ke kondensor bersama dengan uap minyak kayu putih setelah air menguap), teknik pemisahan campuran (penyulingan air dan minyak kayu putih), suhu dan kalor  (Memanaskan air melibatkan pemindahan energi dalam bentuk kalor)",Ketel penyulingan minyak kayu putih di pulau Buru sudah beroperasi sejak masa perang dunia ke-2 (Dinas Pariwisata Provinsi Maluku). Masyarakat setempat menggantungkan hidupnya dari mengelola minyak kayu putih dengan cara tradisional.,Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta,Buru,Maluku,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000797,https://www.syekhnurjati.ac.id/jurnal/index.php/respec/article/view/16328,"-3.34065,126.639",nationalgeographic.grid.id,,../images/Pembuatan_Minyak.jpeg
Pembuatan Telur Asin,"Kinematika, sel, reaksi kimia","Gaya gesek pada saat pengamplasan telur, difusi dan osmosis (transport membran) pada saat pemopokan telur dengan adonan garam, pematangan telur dengan perubahan telur dari cair ke padat",telor asin pada mulanya merupakan bagian dari persembahyangan yang diperuntukkan bagi Dewa Bumi.,Kemahiran dan Kerajinan Tradisional,Brebes,Jawa Tengah,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001471,http://repository.iainkudus.ac.id/id/eprint/9175,"-7.04457,108.945	",Wikimedia Commons,CC0,../images/Telur_Asin.jpeg
Praktek Pertanian Subak,Ekologi,"Praktek bertani di Subak sebagai model literasi sains IPA karena menyediakan keadaan, contoh, konsep dan permasalahan lingkungan","Subak sebagai salah satu kearifan lokal Bali yang merupakan sistem irigasi dengan menerapkan Tri Hita Karana. Dimana dalam konsep Tri Hita Karana manusia selalu berusaha menjalin hubungan yang harmonis dengan : Tuhan, manusia dan alam sekitar. Keharmonisan dengan alam sekitar merupakan salah satu yang ditekankan dalam   pembelajaran IPA, terutama aspek pengendalian hayati.",Lain - Lain,Gianyar,Bali,https://www.kemenparekraf.go.id/ragam-pariwisata/sistem-subak-warisan-budaya-dunia-dan-daya-tarik-wisata,https://ojs.mahadewa.ac.id/index.php/sembio/article/view/2145,"-8.47876,115.297",Wikimedia Commons,"Globe-trotter, CC BY SA 4.0",../images/Subak.jpg
Rumah Lanting,Tekanan Zat,Pondasi rumah mengapung dengan hukum Archimedes,"Rumah lanting merupakan jenis rumah yang tera- pung dan bahan utamanya adalah kayu, sebaliknya untuk bagian dasar pondasi menggunakan batang kayu gelondongan ataupun drum yang terbuat dari plastik selaku pondasi buat mengapungkan bagian rumah. Rumah lanting ialah salah satu rumah adat dari Kalimantan Selatan yang di buat mengapung di air, berkarakter elastis, sebab bisa mengikuti pergantian pasang surut air di sungai",Kemahiran dan Kerajinan Tradisional,Banjarmasin,Kalimantan selatan,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001066,https://repo-dosen.ulm.ac.id/handle/123456789/30336,"-3.32828,114.573",Wikimedia Commons,"Ezagren, CC BY SA 4.0",../images/Rumah_Lanting.JPG
Rumah Limas,Keanekaragaman Hayati,"Keanekaragaman hayati, kayu ulin sebagai bahan rumah limas yang terancam punah","Rumah Limas Palembang, dipengaruhi budaya jawa dan melayu. Ada kayu khusus yang hanya boleh digunakan sebagai kerangka penyangga bagian atas yang tidak boleh dijadikan pelangkahan atau diinjak  sebagai dasar rumah  panggung. Rumah berbentuk panggung ini berfungsi untuk menghindari banjir, dan menyimpan hasil pertanian, atau menghindari binatang buas",Kemahiran dan Kerajinan Tradisional,Palembang,Sumatera Selatan,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000026,http://e-journal.unu-jogja.ac.id/fip/index.php/JONED/article/view/51,"-3.0036,104.728	",Wikimedia Commons,"Fernando Tri Tanjung, CC BY SA 4.0",../images/Rumah_Limas.jpg
Rumah Rejang,Gerak dan Gaya,"Pondasi rumah rejang menggunakan kayu balok besar, yang saling menghubungkan antara tiang penopang rumah satu sama lain tanpa paku.",Rumah Rejang memiliki keunikan yaitu dengan julukan “rumah tahan gempa”,Kemahiran dan Kerajinan Tradisional,Rejang Lebong,Bengkulu,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000410,https://ejournal.unib.ac.id/diksains/article/view/23225,"	-3.44252,102.687",Wikimedia Commons,"Ichan.dgmc, CC BY SA 4.0",../images/Rumah_Rejang.jpg
Sandeq,Fluida Dinamis,"Kendati hanya berlayar segitiga, sandeq sanggup melaju hingga kecepatan maksimal 20 knot atau 40 km per jam. Ada hukum fisika berlaku di sini seperti sifat viskositas karena layar (airfoil) segitiga sandeq memberikan kemampuan menahan gesekan atau tekanan geser. Menurut Hukum Bernoulli, bentuk layar sandeq dapat menghasilkan gaya angkat (lift) maksimal lewat efek aerodinamika ketika melewati suatu aliran udara. Semakin kencang embusan angin, semakin laju sandeq di permukaan air.","Sandeq, perahu tradisional Mandar merupakan warisan leluhur sebagai sarana para nelayan untuk mencari ikan di laut sebagai mata pencaharian, sebagai sarana transportasi para pedagang pada masa silam mengarungi lautan untuk menjual hasil bumi. ",Kemahiran dan Kerajinan Tradisional,Polewali Mandar,Sulawesi Barat,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000167,https://eprints.unm.ac.id/23574/,"	-3.30966,119.195",Wikimedia Commons,"Lfvalle1, CC BY SA 4.0",../images/Sandeq.jpg
